reg_name,reg_addr
DMAC_CHCR3_L,0xFFFFECFC
IPRA_W,0xFFFFED00
IPRC_W,0xFFFFED04
IPRD_W,0xFFFFED06
IPRE_W,0xFFFFED08
IPRF_W,0xFFFFED0A
IPRG_W,0xFFFFED0C
IPRH_W,0xFFFFED0E
IPRI_W,0xFFFFED10
IPRJ_W,0xFFFFED12
IPRK_W,0xFFFFED14
IPRL_W,0xFFFFED16
ICR_W,0xFFFFED18
ISR_W,0xFFFFED1A
SCI_SMR0_B,0xFFFFF000
SCI_BRR0_B,0xFFFFF001
SCI_SCR0_B,0xFFFFF002
SCI_TDR0_B,0xFFFFF003
SCI_SSR0_B,0xFFFFF004
SCI_RDR0_B,0xFFFFF005
SCI_SDCR0_B,0xFFFFF006
SCI_SMR1_B,0xFFFFF008
SCI_BRR1_B,0xFFFFF009
SCI_SCR1_B,0xFFFFF00A
SCI_TDR1_B,0xFFFFF00B
SCI_SSR1_B,0xFFFFF00C
SCI_RDR1_B,0xFFFFF00D
SCI_SDCR1_B,0xFFFFF00E
SCI_SMR2_B,0xFFFFF010
SCI_BRR2_B,0xFFFFF011
SCI_SCR2_B,0xFFFFF012
SCI_TDR2_B,0xFFFFF013
SCI_SSR2_B,0xFFFFF014
SCI_RDR2_B,0xFFFFF015
SCI_SDCR2_B,0xFFFFF016
SCI_SMR3_B,0xFFFFF018
SCI_BRR3_B,0xFFFFF019
SCI_SCR3_B,0xFFFFF01A
SCI_TDR3_B,0xFFFFF01B
SCI_SSR3_B,0xFFFFF01C
SCI_RDR3_B,0xFFFFF01D
SCI_SDCR3_B,0xFFFFF01E
SCI_SMR4_B,0xFFFFF020
SCI_BRR4_B,0xFFFFF021
SCI_SCR4_B,0xFFFFF022
SCI_TDR4_B,0xFFFFF023
SCI_SSR4_B,0xFFFFF024
SCI_RDR4_B,0xFFFFF025
SCI_SDCR4_B,0xFFFFF026
ATUII_TSTR2_B,0xFFFFF400
ATUII_TSTR1_B,0xFFFFF401
ATUII_TSTR3_B,0xFFFFF402
ATUII_PSCR1_B,0xFFFFF404
ATUII_PSCR2_B,0xFFFFF406
ATUII_PSCR3_B,0xFFFFF408
ATUII_PSCR4_B,0xFFFFF40A
ATUII_ICR0DH_W,0xFFFFF420
ATUII_ICR0DL_W,0xFFFFF422
ATUII_ITVRR1_B,0xFFFFF424
ATUII_ITVRR2A_B,0xFFFFF426
ATUII_ITVRR2B_B,0xFFFFF428
ATUII_TIOR0_B,0xFFFFF42A
ATUII_TSR0_W,0xFFFFF42C
ATUII_TIER0_W,0xFFFFF42E
ATUII_TCNT0H_W,0xFFFFF430
ATUII_TCNT0L_W,0xFFFFF432
ATUII_ICR0AH_W,0xFFFFF434
ATUII_ICR0AL_W,0xFFFFF436
ATUII_ICR0BH_W,0xFFFFF438
ATUII_ICR0BL_W,0xFFFFF43A
ATUII_ICR0CH_W,0xFFFFF43C
ATUII_ICR0CL_W,0xFFFFF43E
ATUII_TCNT1A_W,0xFFFFF440
ATUII_TCNT1B_W,0xFFFFF442
ATUII_GR1A_W,0xFFFFF444
ATUII_GR1B_W,0xFFFFF446
ATUII_GR1C_W,0xFFFFF448
ATUII_GR1D_W,0xFFFFF44A
ATUII_GR1E_W,0xFFFFF44C
ATUII_GR1F_W,0xFFFFF44E
ATUII_GR1G_W,0xFFFFF450
ATUII_GR1H_W,0xFFFFF452
ATUII_OCR1_W,0xFFFFF454
ATUII_OSBR1_W,0xFFFFF456
ATUII_TIOR1B_B,0xFFFFF458
ATUII_TIOR1A_B,0xFFFFF459
ATUII_TIOR1D_B,0xFFFFF45A
ATUII_TIOR1C_B,0xFFFFF45B
ATUII_TCR1B_B,0xFFFFF45C
ATUII_TCR1A_B,0xFFFFF45D
ATUII_TSR1A_W,0xFFFFF45E
ATUII_TSR1B_W,0xFFFFF460
ATUII_TIER1A_W,0xFFFFF462
ATUII_TIER1B_W,0xFFFFF464
ATUII_TRGMDR_B,0xFFFFF466
ATUII_TSR3_W,0xFFFFF480
ATUII_TIER3_W,0xFFFFF482
ATUII_TMDR_B,0xFFFFF484
ATUII_TCNT3_W,0xFFFFF4A0
ATUII_TGR3A_W,0xFFFFF4A2
ATUII_GR3B_W,0xFFFFF4A4
ATUII_GR3C_W,0xFFFFF4A6
ATUII_GR3D_W,0xFFFFF4A8
ATUII_TIOR3B_B,0xFFFFF4AA
ATUII_TIOR3A_B,0xFFFFF4AB
ATUII_TCR3_B,0xFFFFF4AC
ATUII_TCNT4_W,0xFFFFF4C0
ATUII_GR4A_W,0xFFFFF4C2
ATUII_GR4B_W,0xFFFFF4C4
ATUII_GR4C_W,0xFFFFF4C6
ATUII_GR4D_W,0xFFFFF4C8
ATUII_TIOR4B_B,0xFFFFF4CA
ATUII_TIOR4A_B,0xFFFFF4CB
ATUII_TCR4_W,0xFFFFF4CC
ATUII_TCNT5_W,0xFFFFF4E0
ATUII_GR5A_W,0xFFFFF4E2
ATUII_GR5B_W,0xFFFFF4E4
ATUII_GR5C_W,0xFFFFF4E6
ATUII_GR5D_W,0xFFFFF4E8
ATUII_TIOR5B_B,0xFFFFF4EA
ATUII_TIOR5A_B,0xFFFFF4EB
ATUII_TCR5_W,0xFFFFF4EC
ATUII_TCNT6A_W,0xFFFFF500
ATUII_TCNT6B_W,0xFFFFF502
ATUII_TCNT6C_W,0xFFFFF504
ATUII_TCNT6D_W,0xFFFFF506
ATUII_CYLR6A_W,0xFFFFF508
ATUII_CYLR6B_W,0xFFFFF50A
ATUII_CYLR6C_W,0xFFFFF50C
ATUII_CYLR6D_W,0xFFFFF50E
ATUII_BFR6A_W,0xFFFFF510
ATUII_BFR6B_W,0xFFFFF512
ATUII_BFR6C_W,0xFFFFF514
ATUII_BFR6D_W,0xFFFFF516
ATUII_DTR6A_W,0xFFFFF518
ATUII_DTR6B_W,0xFFFFF51A
ATUII_DTR6C_W,0xFFFFF51C
ATUII_DTR6D_W,0xFFFFF51E
ATUII_TCR6B_B,0xFFFFF520
ATUII_TCR6A_B,0xFFFFF521
ATUII_TSR6_W,0xFFFFF522
ATUII_TIER6_W,0xFFFFF524
ATUII_PMDR6_B,0xFFFFF526
ATUII_TCNT7A_W,0xFFFFF580
ATUII_TCNT7B_W,0xFFFFF582
ATUII_TCNT7C_W,0xFFFFF584
ATUII_TCNT7D_W,0xFFFFF586
ATUII_CYLR7A_W,0xFFFFF588
ATUII_CYLR7B_W,0xFFFFF58A
ATUII_CYLR7C_W,0xFFFFF58C
ATUII_CYLR7D_W,0xFFFFF58E
ATUII_BFR7A_W,0xFFFFF590
ATUII_BFR7B_W,0xFFFFF592
ATUII_BFR7C_W,0xFFFFF594
ATUII_BFR7D_W,0xFFFFF596
ATUII_DTR7A_W,0xFFFFF598
ATUII_DTR7B_W,0xFFFFF59A
ATUII_DTR7C_W,0xFFFFF59C
ATUII_DTR7D_W,0xFFFFF59E
ATUII_TCR7B_B,0xFFFFF5A0
ATUII_TCR7A_B,0xFFFFF5A1
ATUII_TSR7_W,0xFFFFF5A2
ATUII_TIER7_W,0xFFFFF5A4
ATUII_TCNT11_W,0xFFFFF5C0
ATUII_GR11A_W,0xFFFFF5C2
ATUII_GR11B_W,0xFFFFF5C4
ATUII_TIOR11_B,0xFFFFF5C6
ATUII_TCR11_B,0xFFFFF5C8
ATUII_TSR11_W,0xFFFFF5CA
ATUII_TIER11_W,0xFFFFF5CC
ATUII_TCNT2A_W,0xFFFFF600
ATUII_TCNT2B_W,0xFFFFF602
ATUII_GR2A_W,0xFFFFF604
ATUII_GR2B_W,0xFFFFF606
ATUII_GR2C_W,0xFFFFF608
ATUII_GR2D_W,0xFFFFF60A
ATUII_GR2E_W,0xFFFFF60C
ATUII_GR2F_W,0xFFFFF60E
ATUII_GR2G_W,0xFFFFF610
ATUII_GR2H_W,0xFFFFF612
ATUII_OCR2A_W,0xFFFFF614
ATUII_OCR2B_W,0xFFFFF616
ATUII_OCR2C_W,0xFFFFF618
ATUII_OCR2D_W,0xFFFFF61A
ATUII_OCR2E_W,0xFFFFF61C
ATUII_OCR2F_W,0xFFFFF61E
ATUII_OCR2G_W,0xFFFFF620
ATUII_OCR2H_W,0xFFFFF622
ATUII_OSBR2_W,0xFFFFF624
ATUII_TIOR2B_B,0xFFFFF626
ATUII_TIOR2A_B,0xFFFFF627
ATUII_TIOR2D_B,0xFFFFF628
ATUII_TIOR2C_B,0xFFFFF629
ATUII_TCR2B_B,0xFFFFF62A
ATUII_TCR2A_B,0xFFFFF62B
ATUII_TSR2A_W,0xFFFFF62C
ATUII_TSR2B_W,0xFFFFF62E
ATUII_TIER2A_W,0xFFFFF630
ATUII_TIER2B_W,0xFFFFF632
ATUII_DCNT8A_W,0xFFFFF640
ATUII_DNCT8B_W,0xFFFFF642
ATUII_DNCT8C_W,0xFFFFF644
ATUII_DCNT8D_W,0xFFFFF646
ATUII_DCNT8E_W,0xFFFFF648
ATUII_DCNT8F_W,0xFFFFF64A
ATUII_DCNT8G_W,0xFFFFF64C
ATUII_DCNT8H_W,0xFFFFF64E
ATUII_DCNT8I_W,0xFFFFF650
ATUII_DCNT8J_W,0xFFFFF652
ATUII_DCNT8K_W,0xFFFFF654
ATUII_DCNT8L_W,0xFFFFF656
ATUII_DCNT8M_W,0xFFFFF658
ATUII_DCNT8N_W,0xFFFFF65A
ATUII_DCNT8O_W,0xFFFFF65C
ATUII_DCNT8P_W,0xFFFFF65E
ATUII_RLDR8_W,0xFFFFF660
ATUII_TCNR_W,0xFFFFF662
ATUII_OTR_W,0xFFFFF664
ATUII_DSTR_W,0xFFFFF666
ATUII_TCR8_B,0xFFFFF668
ATUII_TSR8_W,0xFFFFF66A
ATUII_TIER8_W,0xFFFFF66C
ATUII_RLDENR_B,0xFFFFF66E
ATUII_ECNT9A_B,0xFFFFF680
ATUII_ECNT9B_B,0xFFFFF682
ATUII_ECNT9C_B,0xFFFFF684
ATUII_ECNT9D_B,0xFFFFF686
ATUII_ECNT9E_B,0xFFFFF688
ATUII_ECNT9F_B,0xFFFFF68A
ATUII_GR9A_B,0xFFFFF68C
ATUII_GR9B_B,0xFFFFF68E
ATUII_GR9C_B,0xFFFFF690
ATUII_GR9D_B,0xFFFFF692
ATUII_GR9E_B,0xFFFFF694
ATUII_GR9F_B,0xFFFFF696
ATUII_TCR9A_B,0xFFFFF698
ATUII_TCR9B_B,0xFFFFF69A
ATUII_TCR9C_B,0xFFFFF69C
ATUII_TSR9_W,0xFFFFF69E
ATUII_TIER9_W,0xFFFFF6A0
ATUII_TCNT10AH_W,0xFFFFF6C0
ATUII_TCNT10AL_W,0xFFFFF6C2
ATUII_TCNT10B_B,0xFFFFF6C4
ATUII_TCNT10C_W,0xFFFFF6C6
